0, 0, 0, 0, 0.055, 0, 0, 0, 0, 0, 0, 0, 0.018, 0, 0,tech
0.027, 0, 0.006, 0.026, 0.07200000000000001, 0, 0, 0, 0, 0, 0, 0, 0.018, 0, 0,tech
0.027, 0, 0.049, 0, 0.031, 0, 0, 0, 0.006, 0.006, 0, 0, 0.132, 0, 0,tech
0, 0, 0, 0, 0.002, 0, 0, 0.002, 0.006, 0.011, 0.002, 0, 0.124, 0, 0,tech
0.004, 0, 0, 0, 0.012, 0, 0, 0, 0.006, 0, 0, 0, 0.124, 0, 0,tech
0, 0, 0, 0, 0.032, 0, 0, 0, 0.006, 0, 0, 0, 0.14200000000000002, 0, 0,tech
0, 0, 0, 0, 0.032, 0, 0, 0, 0.006, 0, 0, 0, 0.142, 0, 0,tech
0, 0, 0, 0, 0.032, 0, 0, 0, 0.006, 0, 0, 0, 0.142, 0, 0,tech
0, 0, 0, 0, 0.064, 0, 0, 0, 0.006, 0, 0, 0, 0.16, 0, 0,tech
0, 0, 0, 0, 0.08399999999999999, 0, 0, 0, 0, 0, 0, 0, 0.018, 0, 0,tech
0, 0, 0, 0, 0.052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,tech
0, 0.021, 0, 0, 0.092, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,tech
0, 0, 0.017, 0, 0.052, 0, 0, 0, 0, 0, 0, 0, 0.093, 0, 0,tech
0.001, 0, 0, 0, 0.07200000000000001, 0, 0.008, 0, 0.039, 0, 0, 0, 0, 0, 0,tech
0.001, 0, 0, 0, 0.068, 0, 0.008, 0, 0, 0, 0, 0, 0, 0, 0,tech
0.012, 0, 0, 0, 0.055999999999999994, 0, 0, 0, 0.039, 0, 0, 0, 0, 0, 0,tech
0, 0, 0, 0, 0.054, 0, 0, 0.002, 0, 0.011, 0.002, 0, 0, 0, 0,tech
0.001, 0.007, 0, 0, 0.097, 0, 0.008, 0, 0, 0, 0, 0, 0, 0, 0,tech
0, 0.007, 0, 0, 0.113, 0, 0, 0, 0, 0, 0, 0, 0.018, 0, 0,tech
0, 0.021, 0, 0, 0.092, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,tech
0, 0, 0, 0, 0.052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,tech
0, 0.047, 0, 0, 0.08399999999999999, 0, 0, 0, 0, 0, 0, 0, 0.018, 0, 0,tech
0, 0, 0, 0, 0.052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,tech
0, 0, 0, 0, 0.08399999999999999, 0, 0, 0, 0, 0, 0, 0, 0.018, 0, 0,tech
0.017, 0.028, 0.009, 0, 0.092, 0, 0, 0.003, 0, 0, 0, 0, 0, 0, 0,tech
0, 0.036, 0, 0, 0.052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,tech
0.012, 0, 0, 0, 0.052, 0.054, 0, 0, 0, 0, 0, 0, 0, 0, 0,tech
0, 0, 0, 0, 0.052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,tech
0.012, 0, 0, 0, 0.052, 0.054, 0, 0, 0.048, 0, 0, 0, 0, 0, 0,tech
0.003, 0, 0, 0, 0.013000000000000001, 0, 0, 0.016, 0, 0, 0.013, 0, 0, 0.074, 0,tech
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,tech
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,tech
0.035, 0, 0.118, 0.02, 0, 0, 0, 0.028999999999999998, 0, 0, 0, 0, 0, 0, 0,tech
0, 0.007, 0, 0, 0, 0, 0, 0.051000000000000004, 0, 0, 0, 0, 0, 0, 0,tech
0, 0, 0, 0, 0, 0, 0, 0.068, 0, 0, 0, 0, 0, 0, 0,tech
0, 0, 0, 0, 0, 0, 0, 0.027, 0, 0, 0, 0, 0, 0, 0,tech
